epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,4344.76,2.12245,1.0514,1.76007,0.91036,0.77069,0.84245,0.56935,2.23747,1.02515,1.82027,0.000557,0.000557,0.000557
58,4418.96,2.11963,1.03661,1.75796,0.89028,0.78325,0.84297,0.56427,2.27623,1.05461,1.82942,0.000544625,0.000544625,0.000544625
59,4492.97,2.13684,1.05827,1.7613,0.92571,0.7883,0.85349,0.57471,2.2323,1.01463,1.82292,0.00053225,0.00053225,0.00053225
60,4566.61,2.1109,1.04941,1.75819,0.91503,0.76659,0.84722,0.56744,2.27568,1.02522,1.82834,0.000519875,0.000519875,0.000519875
61,4640.09,2.09295,1.02728,1.75198,0.92706,0.77249,0.84626,0.56683,2.2733,1.03902,1.81825,0.0005075,0.0005075,0.0005075
62,4713.83,2.07312,1.03507,1.74896,0.88039,0.78748,0.84711,0.57048,2.22488,1.0076,1.81564,0.000495125,0.000495125,0.000495125
63,4787.71,2.08292,1.01285,1.7485,0.91234,0.76928,0.84335,0.5721,2.24625,1.03252,1.82319,0.00048275,0.00048275,0.00048275
64,4860.93,2.05959,1.01749,1.73658,0.90936,0.78959,0.85398,0.57898,2.2353,0.98615,1.81734,0.000470375,0.000470375,0.000470375
65,4933.74,2.06942,1.01649,1.74843,0.92808,0.79376,0.86001,0.58035,2.24666,1.01607,1.81538,0.000458,0.000458,0.000458
66,5006.9,2.05983,1.00692,1.73919,0.90035,0.76782,0.83968,0.57045,2.22483,1.03786,1.82458,0.000445625,0.000445625,0.000445625
67,5080.38,2.06364,1.01812,1.74899,0.91587,0.78582,0.853,0.57289,2.21495,0.99857,1.82459,0.00043325,0.00043325,0.00043325
68,5153.23,2.02886,0.98715,1.73729,0.92566,0.78,0.84836,0.57368,2.25522,1.01229,1.83681,0.000420875,0.000420875,0.000420875
69,5226.28,2.04573,0.9993,1.74638,0.91301,0.78391,0.84843,0.57247,2.23042,1.01536,1.82214,0.0004085,0.0004085,0.0004085
70,5299.51,2.01625,0.96875,1.73135,0.91616,0.79453,0.85779,0.5829,2.20346,1.00828,1.81578,0.000396125,0.000396125,0.000396125
71,5373.08,2.03346,0.98608,1.73684,0.92434,0.78114,0.85541,0.57915,2.19518,0.99864,1.81894,0.00038375,0.00038375,0.00038375
72,5445.95,2.01292,0.96042,1.73738,0.90601,0.79309,0.85815,0.58616,2.23033,0.98254,1.8136,0.000371375,0.000371375,0.000371375
73,5519.62,1.99229,0.97029,1.72393,0.92781,0.78293,0.85694,0.58622,2.22647,1.00504,1.81955,0.000359,0.000359,0.000359
74,5592.69,1.99559,0.96102,1.73133,0.92159,0.79348,0.86212,0.58779,2.20825,0.97751,1.8157,0.000346625,0.000346625,0.000346625
75,5666.4,1.99973,0.96318,1.72776,0.92281,0.7862,0.86404,0.587,2.20337,0.97403,1.82261,0.00033425,0.00033425,0.00033425
76,5739.6,1.97725,0.94919,1.73228,0.92181,0.78663,0.86395,0.5838,2.20302,0.97089,1.82404,0.000321875,0.000321875,0.000321875
77,5813.22,1.97074,0.9372,1.72579,0.93406,0.77811,0.86227,0.58577,2.21801,0.97691,1.82585,0.0003095,0.0003095,0.0003095
78,5886.17,1.95144,0.93803,1.7208,0.90274,0.79848,0.86196,0.59079,2.17516,0.96774,1.8051,0.000297125,0.000297125,0.000297125
79,5958.89,1.93791,0.91665,1.72638,0.92286,0.78452,0.8611,0.58825,2.17995,0.97462,1.81021,0.00028475,0.00028475,0.00028475
80,6031.86,1.93985,0.93378,1.71633,0.92534,0.79204,0.86082,0.58747,2.16392,0.9703,1.81245,0.000272375,0.000272375,0.000272375
81,6104.44,1.93865,0.91803,1.72302,0.91343,0.78629,0.85915,0.58666,2.16925,0.98546,1.81037,0.00026,0.00026,0.00026
82,6177.59,1.92162,0.91865,1.71988,0.91228,0.7921,0.86071,0.58615,2.17207,0.97959,1.81072,0.000247625,0.000247625,0.000247625
83,6250.59,1.91453,0.90819,1.71812,0.92411,0.7901,0.86075,0.58443,2.19882,1.00791,1.81135,0.00023525,0.00023525,0.00023525
84,6324.16,1.91781,0.90607,1.71565,0.93182,0.77904,0.85823,0.58589,2.195,1.00356,1.81109,0.000222875,0.000222875,0.000222875
85,6397.14,1.91884,0.91925,1.71729,0.91989,0.79022,0.86026,0.58864,2.17071,0.98132,1.80396,0.0002105,0.0002105,0.0002105
86,6470.48,1.90891,0.9095,1.71783,0.9078,0.79348,0.85578,0.58572,2.16336,0.99259,1.80005,0.000198125,0.000198125,0.000198125
87,6543.39,1.88621,0.88241,1.71496,0.94119,0.79061,0.86641,0.58952,2.15306,0.97742,1.79975,0.00018575,0.00018575,0.00018575
88,6616.71,1.9068,0.91165,1.71517,0.91579,0.79248,0.86256,0.58881,2.17442,0.98791,1.80175,0.000173375,0.000173375,0.000173375
89,6690.14,1.90168,0.89951,1.70576,0.91981,0.79545,0.86349,0.58765,2.16509,0.97213,1.80265,0.000161,0.000161,0.000161
90,6763.4,1.8899,0.89684,1.71348,0.90888,0.79988,0.86293,0.58929,2.16444,0.97364,1.80227,0.000148625,0.000148625,0.000148625
91,6852.73,1.85796,0.81881,1.67898,0.90884,0.79553,0.86231,0.58744,2.17395,0.98875,1.80112,0.00013625,0.00013625,0.00013625
92,6925.09,1.81594,0.79197,1.67604,0.93277,0.77867,0.8616,0.58697,2.18038,0.98097,1.80655,0.000123875,0.000123875,0.000123875
93,6997.96,1.81572,0.7812,1.67024,0.90801,0.79688,0.86151,0.58883,2.17554,0.96578,1.80907,0.0001115,0.0001115,0.0001115
94,7070.43,1.80959,0.77899,1.66742,0.91948,0.7952,0.86435,0.58949,2.18074,0.95617,1.80686,9.9125e-05,9.9125e-05,9.9125e-05
95,7143.66,1.79879,0.7687,1.66387,0.93463,0.77631,0.86048,0.58789,2.18038,0.96396,1.80727,8.675e-05,8.675e-05,8.675e-05
96,7217.61,1.77661,0.76485,1.66536,0.92822,0.79154,0.86495,0.58999,2.17009,0.9526,1.80591,7.4375e-05,7.4375e-05,7.4375e-05
97,7290.67,1.78261,0.76933,1.66518,0.93898,0.78669,0.86435,0.59062,2.17835,0.95319,1.80828,6.2e-05,6.2e-05,6.2e-05
98,7363.81,1.76687,0.76916,1.66913,0.92974,0.78228,0.86242,0.59038,2.19706,0.95771,1.8109,4.9625e-05,4.9625e-05,4.9625e-05
99,7436.64,1.75641,0.76437,1.65545,0.92985,0.77862,0.862,0.58902,2.19295,0.95408,1.81083,3.725e-05,3.725e-05,3.725e-05
100,7509.77,1.76569,0.76727,1.65983,0.90752,0.79602,0.86147,0.5886,2.19479,0.95699,1.81169,2.4875e-05,2.4875e-05,2.4875e-05
